"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S0073","MOLAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0590","MOONEW GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0994","MOONLIGHT ENGLISH SCHOOL MANGZING","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0968","MOONLIGHT SCHOOL, CHUNGTHANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S1192","MOTHER TERESA MEMORIAL SCHOOL, BIKMAT","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1199","MOTHER TERESA MEMORIAL SCHOOL, RATEYPANI","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1122","MOUNDEEP ACADEMY, JHUSINGTHANG","Available","35","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1219","MOUNT CARMEL ACADEMY, DEORALI","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1158","MOUNT CARMEL ACADEMY, GANGTOK","Available","20","Available","1","Available","Available","1","Not Available","Not Available"
"S0826","MOUNT CARMEL SCHOOL, NAMCHI","Not Available","0","Available","2","Available","Available","2","Not Available","Available"
"S1142","MOUNT CARMEL SCHOOL, TURUK","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0966","MOUNT EVEREST ACADEMY, CHUNGTHANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1104","MOUNT K2 ENGLISH SCHOOL, SORENG","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1061","MOUNT KANCHAN ACADEMY, DENTAM","Available","150","Not Available","0","Available","Available","1","Not Available","Available"
"S1171","MOUNT OLIVES ACADEMY, TEMI","Available","0","Available","2","Available","Available","1","Available","Available"
"S1102","MOUNT OLIVES SCHOOL, CHAKUNG","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1042","MOUNT PANDIM ACADEMY, GERETHANG","Available","0","Available","1","Available","Available","1","Not Available","Available"
"S1221","MOUNT PANDIM PRISTINE ACADEMY, HEE GYATHANG","Available","20","Available","1","Available","Available","1","Available","Available"
"S1037","MOUNT SIMVO BOARDING SCHOOL, ARITHANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1205","MOUNT SINAI ACADEMY","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S1223","MOUNT SINAI ACADEMY JHS, ZOOM","Available","0","Available","2","Available","Available","1","Available","Available"
"S1133","MOUNT VIEW ACADEMY, RIBDI","Not Available","0","Available","0","Not Available","Available","1","Not Available","Not Available"
"S1062","MOUNT ZION ACADEMY, HEE BAZAR","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0901","MOUNT ZION ACADEMY, RHENOCK","Available","150","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1248","MOUNT ZION SCHOOL (KIDZEE), 5TH MILE","Available","300","Not Available","0","Not Available","Not Available","0","Available","Available"
"S1391","MT. OLIVE ACADEMY, JORETHANG","Available","30","Available","1","Available","Not Available","0","Not Available","Not Available"
"S1015","MT. PANDIM ACADEMY, KEWZING","Not Available","0","Not Available","0","Available","Not Available","0","Available","Not Available"
"S0251","MUKRUNG GOVERNMENT SECONDARY SCHOOL","Available","0","Available","6","Not Available","Available","1","Available","Not Available"
"S0125","MULUKEY GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Not Available"
"S0386","MUNGRANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0038","MUNSHITHANG GOVERNMENT PRIMARY SCHOOL (S.S.A)","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0399","N.T.L.VOK GOVERNMENT SECONDARY SCHOOL","Available","302","Available","5","Available","Available","1","Not Available","Not Available"
"S1187","NABIL MEMORIAL SCHOOL, JORETHANG","Available","1500","Available","1","Available","Available","1","Not Available","Available"
"S0022","NADAY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0021","NAGA GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0605","NAGI PALITAM GOVERNMENT PRIMARY SCHOOL","Available","25","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0321","NAKU TADONG GOVERNMENT PRIMARY SCHOOL","Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0527","NAMBU GOVERNMENT PRIMARY SCHOOL","Available","31","Available","2","Available","Available","1","Not Available","Not Available"
"S0383","NAMBU TAREN GOVERNMENT PRIMARY SCHOOL","Available","36","Available","2","Not Available","Available","1","Not Available","Available"
"S0381","NAMBUMANGTHANG GOVERNMENT PRIMARY SCHOOL","Available","107","Available","2","Not Available","Not Available","0","Not Available","Available"
"S0100","NAMCHEYBONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0652","NAMCHI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","1","Available","Available","1","Not Available","Available"
"S0388","NAMCHI GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","3","Available","Available","2","Not Available","Not Available"
"S0412","NAMCHI NEW GOVERNMENT SECONDARY SCHOOL","Available","217","Available","6","Available","Available","2","Available","Not Available"
"S0827","NAMCHI PUBLIC SCHOOL,NAMCHI","Available","1000","Available","3","Available","Available","2","Available","Available"
"S0714","NAMGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","0","Not Available","Available","1","Not Available","Not Available"
"S0225","NAMIN DHURBA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0669","NAMLUNG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0047","NAMOK GOVERNMENT JUNIOR HIGH SCHOOL","Available","530","Available","1","Available","Available","1","Not Available","Not Available"
"S0240","NAMONG ARITHANG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0060","NAMPATAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0394","NAMPHING GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","0","Available","Available","1","Not Available","Not Available"
"S0569","NAMPHOK GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0252","NAMPONG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0029","NAMPRICK GOVERNMENT JUNIOR HIGH SCHOOL","Available","84","Available","5","Available","Available","1","Available","Not Available"
"S0446","NAMPRICK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0391","NAMTHANG GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","2","Not Available","Not Available"
"S0231","NANDOK GOVERNMENT SECONDARY SCHOOL","Available","0","Available","6","Available","Available","1","Not Available","Not Available"
"S0392","NANDUGAON GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0438","NANDUGAON SUNTALEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0452","NANGDANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0578","NASA GOVERNMENT PRIMARY SCHOOL(WEST)","Not Available","0","Available","0","Not Available","Available","1","Not Available","Not Available"
"S1179","NAV JYOTI KINDER GARTEN(JHS), PHONGLA","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0933","NAV YUG PUBLIC SCHOOL (RANKA BRANCH), DHAJEY","Available","300","Available","1","Available","Not Available","0","Not Available","Available"
"S0934","NAV YUG PUBLIC SCHOOL, SAJONG","Available","300","Available","1","Available","Available","1","Not Available","Available"
"S0987","NAVA JYOTI ENGLISH SCHOOL, SADAM","Available","150","Not Available","0","Available","Available","1","Not Available","Available"
"S0255","NAVEY GOVERNMENT PRIMARY SCHOOL","Available","25","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0318","NAYABAZAR GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Not Available"
"S0182","NAZITAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0721","NAZOOR BERFOK GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Available","4","Not Available","Available","1","Not Available","Not Available"
"S0558","NEH BROOM GOVERNMENT SECONDARY SCHOOL","Available","200","Available","2","Available","Available","1","Available","Not Available"
"S1474","NEIL TARA ACADEMY","Available","300","Available","6","Available","Available","1","Not Available","Not Available"
"S0308","NERDHANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0356","NESSA ARITHANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0844","NEW BUDS ACADEMY, JORETHANG","Available","1000","Available","4","Not Available","Available","0","Not Available","Available"
"S0876","NEW GARDEN BOARDING SCHOOL (SAJONG)","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0858","NEW GARDEN BOARDING SCHOOL, SINGTAM","Available","0","Available","1","Not Available","Not Available","0","Available","Available"
